symbol,exchange,organ_name,industry
EID,HNX,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Truyền thông
EIB,HSX,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng
ECI,HNX,Công ty Cổ phần Tập đoàn ECI,Truyền thông
EBS,HNX,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Truyền thông
DXV,HSX,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu
DXS,HSX,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Bất động sản
DXP,HNX,Công ty Cổ phần Cảng Đoạn Xá,Hàng & Dịch vụ Công nghiệp
DXG,HSX,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản
DVP,HSX,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Hàng & Dịch vụ Công nghiệp
DVM,HNX,Công ty Cổ phần Dược liệu Việt Nam,Y tế
DTT,HSX,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất
DTL,HSX,Công ty Cổ phần Đại Thiên Lộc,Tài nguyên Cơ bản
DTK,HNX,Tổng Công ty Điện lực TKV - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt"
DTG,HNX,Công ty Cổ phần Dược phẩm Tipharco,Y tế
DTD,HNX,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Bất động sản
DTA,HSX,Công ty Cổ phần Đệ Tam,Bất động sản
DST,HNX,Công ty Cổ phần Đầu tư Sao Thăng Long,Truyền thông
DSN,HSX,Công ty Cổ phần Công viên nước Đầm Sen,Du lịch và Giải trí
DSE,HSX,Công ty Cổ phần Chứng khoán DNSE,Dịch vụ tài chính
DSC,HSX,Công ty Cổ phần Chứng khoán DSC,Dịch vụ tài chính
DS3,HNX,Công ty Cổ phần DS3,Hàng & Dịch vụ Công nghiệp
DRL,HSX,Công ty Cổ phần Thủy điện - Điện lực 3,"Điện, nước & xăng dầu khí đốt"
DRH,HSX,Công ty Cổ phần DRH Holdings,Bất động sản
DRC,HSX,Công ty Cổ phần Cao su Đà Nẵng,Ô tô và phụ tùng
DQC,HSX,Công ty Cổ phần Tập đoàn Điện Quang,Hàng cá nhân & Gia dụng
DPR,HSX,Công ty Cổ phần Cao su Đồng Phú,Hóa chất
DPM,HSX,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất
DPG,HSX,Công ty Cổ phần Tập đoàn Đạt Phương,Xây dựng và Vật liệu
DP3,HNX,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Y tế
DNP,HNX,Công ty Cổ phần DNP Holding,Xây dựng và Vật liệu
DNC,HNX,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,"Điện, nước & xăng dầu khí đốt"
DMC,HSX,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Y tế
DLG,HSX,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Xây dựng và Vật liệu
DL1,HNX,Công ty Cổ phần Tập đoàn Alpha Seven,Hàng & Dịch vụ Công nghiệp
DIH,HNX,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Xây dựng và Vật liệu
DIG,HSX,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản
DHT,HNX,Công ty Cổ phần Dược phẩm Hà Tây,Bán lẻ
DHP,HNX,Công ty Cổ phần Điện cơ Hải Phòng,Hàng & Dịch vụ Công nghiệp
DHM,HSX,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Tài nguyên Cơ bản
DHG,HSX,Công ty Cổ phần Dược Hậu Giang,Y tế
DHC,HSX,Công ty Cổ phần Đông Hải Bến Tre,Tài nguyên Cơ bản
DHA,HSX,Công ty Cổ phần Hóa An,Xây dựng và Vật liệu
DGW,HSX,Công ty Cổ phần Thế Giới Số,Bán lẻ
DGC,HSX,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất
DDG,HNX,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,"Điện, nước & xăng dầu khí đốt"
DCM,HSX,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Hóa chất
DCL,HSX,Công ty Cổ phần Dược phẩm Cửu Long,Y tế
DC4,HSX,Công ty Cổ phần Dicera Holdings,Xây dựng và Vật liệu
DC2,HNX,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,Xây dựng và Vật liệu
DBT,HSX,Công ty Cổ phần Dược phẩm Bến Tre,Y tế
DBD,HSX,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Y tế
DBC,HSX,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm và đồ uống
DAT,HSX,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Thực phẩm và đồ uống
DAH,HSX,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch và Giải trí
DAE,HNX,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Truyền thông
DAD,HNX,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Truyền thông
D2D,HSX,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Bất động sản
D11,HNX,Công ty Cổ phần Địa ốc 11,Bất động sản
CX8,HNX,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Xây dựng và Vật liệu
CVT,HSX,Công ty Cổ phần CMC,Xây dựng và Vật liệu
CTT,HNX,Công ty Cổ phần Chế tạo máy - Vinacomin,Hàng & Dịch vụ Công nghiệp
CTS,HSX,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính
CTR,HSX,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng và Vật liệu
CTP,HNX,Công ty Cổ phần Hoà Bình Takara,Thực phẩm và đồ uống
CTI,HSX,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng và Vật liệu
CTG,HSX,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng
CTF,HSX,Công ty Cổ phần City Auto,Ô tô và phụ tùng
